Questions,Answers
Wie buche ich ein Uber-Fahrzeug?,Sie können ein Uber-Fahrzeug über die Uber-App buchen.
"Woher weiß ich, wann mein Uber ankommt?","In der Uber-App wird Ihnen die voraussichtliche Ankunftszeit Ihres Fahrers angezeigt, sobald die Buchung bestätigt wurde."
Welche Zahlungsmethoden kann ich für Uber verwenden?,"Sie können verschiedene Zahlungsmethoden in der Uber-App verwenden, darunter Kreditkarten, PayPal und in einigen Regionen auch Bargeld."
Kann ich die Route für meine Fahrt mit Uber auswählen?,"Ja, Sie können die gewünschte Route in der Uber-App angeben oder mit dem Fahrer besprechen."
Gibt es verschiedene Fahrzeugoptionen in der Uber-App?,"Ja, in der Uber-App stehen Ihnen verschiedene Fahrzeugoptionen zur Verfügung, je nachdem, welche Art von Fahrzeug Sie benötigen, z.B. Standard, XL oder Luxus."
"Wie weiß ich, welches Fahrzeug mir zugewiesen wurde?",Die Uber-App zeigt Ihnen Informationen über das zugewiesene Fahrzeug sowie das Kennzeichen und das Foto des Fahrers.
Kann ich eine Uber-Fahrt im Voraus buchen?,"Ja, in einigen Städten können Sie eine Fahrt im Voraus buchen, indem Sie das gewünschte Datum und die Uhrzeit in der App angeben."
"Was passiert, wenn sich meine Pläne ändern und ich meine Uber-Fahrt stornieren muss?","Sie können eine Fahrt kostenlos stornieren, solange der Fahrer noch nicht unterwegs ist. Andernfalls können Stornogebühren anfallen."
Kann ich mehrere Zwischenstopps während meiner Uber-Fahrt machen?,"Ja, Sie können unterwegs Zwischenstopps in der App hinzufügen, um andere Passagiere abzuholen oder kurz anzuhalten."
"Wie erkennt mich der Uber-Fahrer, wenn er ankommt?","Der Fahrer erkennt Sie anhand des Namens, den Sie in der App angegeben haben. Sie können sich auch durch das Fahrzeugkennzeichen vergewissern."
